project,target,configuration,hash,code,status,start,end
my-utils,build,,13491473441872457926,0,success,1723357295532,1723357297227
my-app,build,,12450601521035672699,0,success,1723357307452,1723357326328
my-utils,build,,13491473441872457926,0,success,1723357343776,1723357345024
my-app,build,,12450601521035672699,0,success,1723357343776,1723357355463
my-utils,build,,12394917290812649161,0,success,1723363080682,1723363081913
my-app,build,,17708154891463241942,0,success,1723363081914,1723363095598
my-utils,build,,12394917290812649161,0,local-cache,1723363149896,1723363149924
my-app,build,,17708154891463241942,0,local-cache,1723363149926,1723363150028
my-utils,build,,14142014890170534442,0,success,1723364259873,1723364261125
my-app,build,,14791440401421943584,0,success,1723364261126,1723364273412
my-utils,build,,2542904877371560052,0,success,1723364332557,1723364333779
my-app,build,,13534131031729464911,0,success,1723364333779,1723364345600
